Date/Time,Fahrenheit,Celsius
"2012/06/20 07:44:01",79.25,26.25
"2012/06/20 07:54:02",78.93,26.07
"2012/06/20 08:04:02",79.09,26.16
"2012/06/20 08:14:02",79.41,26.34
"2012/06/20 08:24:02",79.41,26.34
"2012/06/20 08:34:02",79.09,26.16
"2012/06/20 08:44:02",79.09,26.16
"2012/06/20 08:54:02",79.09,26.16
"2012/06/20 09:04:02",78.93,26.07
"2012/06/20 09:14:02",77.64,25.35
"2012/06/20 09:24:02",78.76,25.98
"2012/06/20 09:34:02",78.44,25.8
"2012/06/20 09:44:02",78.44,25.8
"2012/06/20 09:54:02",77.96,25.53
"2012/06/20 10:04:02",77.64,25.35
"2012/06/20 10:14:02",77.64,25.35
"2012/06/20 10:24:02",77.32,25.17
"2012/06/20 10:34:02",77.8,25.44
"2012/06/20 10:44:03",77.96,25.53
"2012/06/20 10:54:03",76.68,24.82
"2012/06/20 11:04:03",77.64,25.35
"2012/06/20 11:14:03",77.48,25.26
"2012/06/20 11:24:03",77.96,25.53
"2012/06/20 11:34:03",78.44,25.8
"2012/06/20 11:44:03",77.8,25.44
"2012/06/20 11:54:03",77.32,25.17
"2012/06/20 00:04:03",77.32,25.17
"2012/06/20 00:14:03",78.93,26.07
"2012/06/20 00:24:03",79.41,26.34
"2012/06/20 00:34:03",78.76,25.98
"2012/06/20 00:44:03",77.48,25.26
"2012/06/20 00:54:03",78.93,26.07
"2012/06/20 13:04:03",77.8,25.44
"2012/06/20 13:14:03",77.8,25.44
"2012/06/20 13:24:03",78.61,25.89
"2012/06/20 13:34:04",77.96,25.53
"2012/06/20 13:44:04",78.12,25.62
"2012/06/20 13:54:04",77.48,25.26
"2012/06/20 14:04:04",77.96,25.53
"2012/06/20 14:14:04",77.64,25.35
"2012/06/20 14:24:04",77.96,25.53
"2012/06/20 14:34:04",77.8,25.44
"2012/06/20 14:44:04",78.76,25.98
"2012/06/20 14:54:04",77.96,25.53
"2012/06/20 15:04:04",77.96,25.53
"2012/06/20 15:14:04",77.96,25.53
"2012/06/20 15:24:04",78.44,25.8
"2012/06/20 15:34:04",78.28,25.71
"2012/06/20 15:44:04",78.76,25.98
"2012/06/20 15:54:04",78.61,25.89
"2012/06/20 16:04:04",77.96,25.53
"2012/06/20 16:14:04",78.12,25.62
"2012/06/20 16:24:04",77.96,25.53
"2012/06/20 16:34:05",78.28,25.71
"2012/06/20 16:44:05",78.12,25.62
"2012/06/20 16:54:05",78.44,25.8
"2012/06/20 17:04:05",78.61,25.89
"2012/06/20 17:14:05",78.44,25.8
"2012/06/20 17:24:05",78.12,25.62
"2012/06/20 17:34:05",78.12,25.62
"2012/06/20 17:44:05",78.28,25.71
"2012/06/20 17:54:05",78.61,25.89
"2012/06/20 18:04:05",77.8,25.44
"2012/06/20 18:14:05",78.28,25.71
"2012/06/20 18:24:05",78.28,25.71
"2012/06/20 18:34:05",78.61,25.89
"2012/06/20 18:44:05",78.12,25.62
"2012/06/20 18:54:05",78.12,25.62
"2012/06/20 19:04:05",78.28,25.71
"2012/06/20 19:14:05",78.44,25.8
"2012/06/20 19:24:05",80.71,27.06
"2012/06/20 19:34:06",78.44,25.8
"2012/06/20 19:44:06",78.28,25.71
"2012/06/20 19:54:06",77.96,25.53
"2012/06/20 20:04:06",78.12,25.62
"2012/06/20 20:14:06",77.48,25.26
"2012/06/20 20:24:06",77.8,25.44
"2012/06/20 20:34:06",77.32,25.17
"2012/06/20 20:44:06",77.15,25.08
"2012/06/20 20:54:06",77.15,25.08
"2012/06/20 21:04:06",77.8,25.44
"2012/06/20 21:14:06",77.48,25.26
"2012/06/20 21:24:06",76.99,24.99
"2012/06/20 21:34:06",78.12,25.62
"2012/06/20 21:44:06",77.48,25.26
"2012/06/20 21:54:06",77.32,25.17
"2012/06/20 22:04:06",76.99,24.99
"2012/06/20 22:14:06",77.15,25.08
"2012/06/20 22:24:06",77.8,25.44
"2012/06/20 22:34:07",78.76,25.98
"2012/06/20 22:44:07",79.09,26.16
"2012/06/20 22:54:07",79.73,26.52
"2012/06/20 23:04:07",80.06,26.7
"2012/06/20 23:14:07",80.38,26.88
"2012/06/20 23:24:07",80.38,26.88
"2012/06/20 23:34:07",80.54,26.97
"2012/06/20 23:44:07",80.54,26.97
"2012/06/20 23:54:07",79.73,26.52
"2012/06/21 12:04:07",80.06,26.7
"2012/06/21 12:14:07",80.87,27.15
"2012/06/21 12:24:07",80.06,26.7
"2012/06/21 12:34:07",79.9,26.61
"2012/06/21 12:44:07",80.71,27.06
"2012/06/21 12:54:07",80.22,26.79
"2012/06/21 01:04:07",79.9,26.61
"2012/06/21 01:14:07",80.54,26.97
"2012/06/21 01:24:07",80.22,26.79
"2012/06/21 01:34:07",79.57,26.43
"2012/06/21 01:44:08",80.54,26.97
"2012/06/21 01:54:08",80.54,26.97
"2012/06/21 02:04:08",79.57,26.43
"2012/06/21 02:14:08",80.54,26.97
"2012/06/21 02:24:08",80.38,26.88
"2012/06/21 02:34:08",80.06,26.7
"2012/06/21 02:44:08",80.38,26.88
"2012/06/21 02:54:08",80.54,26.97
"2012/06/21 03:04:08",79.9,26.61
"2012/06/21 03:14:08",80.22,26.79
"2012/06/21 03:24:08",80.38,26.88
"2012/06/21 03:34:08",80.71,27.06
"2012/06/21 03:44:08",80.06,26.7
"2012/06/21 03:54:08",80.06,26.7
"2012/06/21 04:04:08",80.54,26.97
"2012/06/21 04:14:09",80.54,26.97
"2012/06/21 04:24:09",80.71,27.06
"2012/06/21 04:34:09",79.73,26.52
"2012/06/21 04:44:09",80.38,26.88
"2012/06/21 04:54:09",80.38,26.88
"2012/06/21 05:04:09",80.54,26.97
"2012/06/21 05:14:09",80.71,27.06
"2012/06/21 05:24:09",79.9,26.61
"2012/06/21 05:34:09",80.22,26.79
"2012/06/21 05:44:09",80.38,26.88
"2012/06/21 05:54:09",80.54,26.97
"2012/06/21 06:04:09",80.54,26.97
"2012/06/21 06:14:09",79.73,26.52
"2012/06/21 06:24:09",80.22,26.79
"2012/06/21 06:34:09",80.54,26.97
"2012/06/21 06:44:09",80.71,27.06
"2012/06/21 06:54:09",80.71,27.06
"2012/06/21 07:04:10",80.87,27.15
"2012/06/21 07:14:10",80.71,27.06
